p,m,p,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,bias of se,Type I error rate of  T,Type I error rate of T_SB,Type I error rate of T_JY,Type I error rate of T_MVA
5,1,500,skewed,wls,0.999,0,0,0,0,0.189179937,0.179203917,0.052052052,0.052052052,0.052052052,0.052052052
5,1,1000,normal,gls,1,1,1,1,1,0.048507177,0.02005073,0.056,0.058,0.058,0.058
5,1,1000,normal,dls,1,0.999043828,0.9999714,1,0.992068085,0.048507234,0.020050519,0.056,0.058,0.058,0.058
5,1,1000,normal,wls,1,0,0,0,0,0.048810042,0.020720046,0.062,0.062,0.062,0.062
5,1,1000,elliptical,gls,1,1,1,1,1,0.073407629,0.043839624,0.412,0.048,0.048,0.035
5,1,1000,elliptical,dls,1,0.529432099,0.545076704,0.860070664,0.088710556,0.070018316,0.033259622,0.137,0.046,0.046,0.045
5,1,1000,elliptical,wls,1,0,0,0,0,0.07293225,0.047447625,0.046,0.046,0.046,0.046
5,1,1000,skewed,gls,1,1,1,1,1,0.151812409,0.156064817,0.37,0.043,0.043,0.03
5,1,1000,skewed,dls,1,0.103213563,0.097020028,0.285674368,0.007430678,0.136211409,0.113027174,0.048,0.039,0.039,0.039
5,1,1000,skewed,wls,1,0,0,0,0,0.13702005,0.114610475,0.037,0.037,0.037,0.037
15,3,40,normal,gls,1,1,1,1,1,0.244975295,0.109427106,0.047,0.14,0.029,0.003
15,3,40,normal,dls,1,0.998476158,0.998501535,0.99950529,0.997247797,0.250888225,0.136198875,0.047,0.144,0.033,0.003
NA,NA,NA,normal,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,40,elliptical,gls,0.998,1,1,1,1,0.373933908,0.288692102,0.822645291,0.205410822,0.04008016,0.002004008
15,3,40,elliptical,dls,1,0.994127745,0.994617626,0.99761141,0.9588553,0.307639333,0.216520743,0.831,0.19,0.032,0.001
NA,NA,NA,elliptical,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,40,skewed,gls,0.987,1,1,1,1,0.571720348,0.39193684,0.653495441,0.17325228,0.044579534,0
15,3,40,skewed,dls,0.999,0.991420285,0.992003841,0.99731399,0.965319145,0.470747707,0.343491165,0.675675676,0.172172172,0.029029029,0
NA,NA,NA,skewed,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,60,normal,gls,1,1,1,1,1,0.190058792,0.084710356,0.046,0.086,0.048,0.007
15,3,60,normal,dls,1,0.999212395,0.999214745,0.999842317,0.998327603,0.186859826,0.067671112,0.047,0.088,0.048,0.007
NA,NA,NA,normal,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,60,elliptical,gls,1,1,1,1,1,0.309084421,0.253541883,0.885,0.136,0.076,0.001
15,3,60,elliptical,dls,1,0.995060481,0.995459497,0.998683926,0.985784813,0.263027739,0.189303768,0.882,0.113,0.058,0
NA,NA,NA,elliptical,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,60,skewed,gls,0.998,1,1,1,1,0.515012824,0.35922504,0.735470942,0.126252505,0.071142285,0
15,3,60,skewed,dls,0.997,0.991077548,0.991350342,0.996974389,0.961696843,0.418219543,0.315667474,0.748244734,0.114343029,0.057171515,0.001003009
NA,NA,NA,skewed,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,100,normal,gls,1,1,1,1,1,0.141026378,0.034905982,0.047,0.066,0.066,0.01
15,3,100,normal,dls,1,0.999648466,0.999658214,1,0.999025669,0.141021064,0.035187127,0.047,0.066,0.066,0.011
NA,NA,NA,normal,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,100,elliptical,gls,0.998,1,1,1,1,0.259527459,0.218674968,0.935871743,0.096192385,0.096192385,0.004008016
15,3,100,elliptical,dls,1,0.995261216,0.995817467,0.999170322,0.982104687,0.21540835,0.123991741,0.934,0.066,0.066,0
NA,NA,NA,elliptical,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,100,skewed,gls,1,1,1,1,1,0.392641522,0.293996548,0.827,0.07,0.07,0
15,3,100,skewed,dls,1,0.989221573,0.989758415,0.996923678,0.973665435,0.334898301,0.286971398,0.822,0.059,0.059,0
NA,NA,NA,skewed,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,3,200,normal,gls,1,1,1,1,1,0.100556903,0.018074494,0.038,0.05,0.05,0.023
15,3,200,normal,dls,1,0.999898023,0.9999096,1,0.999472805,0.100556339,0.018086989,0.038,0.05,0.05,0.023
15,3,200,normal,wls,1,0,0,0,0,0.16434943,0.509904558,0.979,0.979,0.979,0.979
15,3,200,elliptical,gls,1,1,1,1,1,0.165743767,0.120977717,0.964,0.064,0.064,0
15,3,200,elliptical,dls,1,0.995481691,0.996272368,0.99942975,0.980252604,0.148297805,0.074655389,0.964,0.05,0.05,0
15,3,200,elliptical,wls,0.981,0,0,0,0,0.352221477,0.532427976,0.98470948,0.98470948,0.98470948,0.98470948
15,3,200,skewed,gls,1,1,1,1,1,0.28795804,0.238290031,0.924,0.047,0.047,0
15,3,200,skewed,dls,1,0.984893203,0.985717711,0.995546959,0.961300985,0.229983608,0.166634047,0.911,0.037,0.037,0
15,3,200,skewed,wls,0.988,0,0,0,0,0.461125733,0.586872303,0.986430063,0.986430063,0.986430063,0.986430063
15,3,300,normal,gls,1,1,1,1,1,0.084921718,0.020569546,0.038,0.045,0.045,0.022
15,3,300,normal,dls,1,0.9999446,0.9999561,1,0.999703625,0.084921598,0.020580043,0.038,0.045,0.045,0.022
15,3,300,normal,wls,1,0,0,0,0,0.117412293,0.350581783,0.832,0.832,0.832,0.832
15,3,300,elliptical,gls,1,1,1,1,1,0.141948881,0.120846141,0.98,0.06,0.06,0
15,3,300,elliptical,dls,1,0.994890703,0.995953524,0.998838431,0.964249901,0.123742332,0.058574171,0.979,0.05,0.05,0
15,3,300,elliptical,wls,1,0,0,0,0,0.276083169,0.36244302,0.858,0.858,0.858,0.858
15,3,300,skewed,gls,1,1,1,1,1,0.242447171,0.20919199,0.94,0.059,0.059,0.001
15,3,300,skewed,dls,1,0.980087331,0.981436495,0.993048385,0.945096075,0.194953148,0.132780671,0.926,0.051,0.051,0.001
15,3,300,skewed,wls,0.992,0,0,0,0,0.364507235,0.43377591,0.815524194,0.815524194,0.815524194,0.815524194
15,3,500,normal,gls,1,1,1,1,1,0.064046602,0.014946009,0.051,0.058,0.058,0.035
15,3,500,normal,dls,1,0.9999723,0.9999844,1,0.999835864,0.064046488,0.014946697,0.051,0.058,0.058,0.035
15,3,500,normal,wls,1,0,0,0,0,0.078598725,0.207303277,0.47,0.47,0.47,0.47
15,3,500,elliptical,gls,1,1,1,1,1,0.111409018,0.100208032,0.994,0.061,0.061,0.006
15,3,500,elliptical,dls,1,0.993757103,0.995030183,0.998581157,0.923199565,0.096776059,0.037957857,0.993,0.047,0.047,0.007
15,3,500,elliptical,wls,1,0,0,0,0,0.207987024,0.231252115,0.44,0.44,0.44,0.44
15,3,500,skewed,gls,1,1,1,1,1,0.199871462,0.201469896,0.97,0.043,0.043,0
15,3,500,skewed,dls,1,0.971296809,0.973321485,0.990457037,0.920581127,0.155172425,0.104650566,0.951,0.034,0.034,0
15,3,500,skewed,wls,0.999,0,0,0,0,0.284988422,0.287623575,0.431431431,0.431431431,0.431431431,0.431431431
15,3,1000,normal,gls,1,1,1,1,1,0.047792495,0.016672302,0.034,0.039,0.039,0.029
15,3,1000,normal,dls,1,0.999988,0.99999502,1,0.9999169,0.047792508,0.016671851,0.034,0.039,0.039,0.029
15,3,1000,normal,wls,1,0,0,0,0,0.053045527,0.102235371,0.211,0.211,0.211,0.211
15,3,1000,elliptical,gls,1,1,1,1,1,0.076746705,0.077329814,0.997,0.053,0.053,0
15,3,1000,elliptical,dls,1,0.99085598,0.992546008,0.99718604,0.901445278,0.068068747,0.025488358,0.997,0.046,0.046,0
15,3,1000,elliptical,wls,1,0,0,0,0,0.143674273,0.137859051,0.212,0.212,0.212,0.212
15,3,1000,skewed,gls,1,1,1,1,1,0.147344383,0.164644017,0.987,0.053,0.053,0
15,3,1000,skewed,dls,1,0.951333461,0.955803486,0.981681163,0.703683594,0.115784136,0.060449113,0.969,0.04,0.04,0.005
15,3,1000,skewed,wls,1,0,0,0,0,0.20079791,0.168338147,0.165,0.165,0.165,0.165
21,3,100,normal,gls,1,1,1,1,1,0.134885582,0.040310396,0.049,0.092,0.033,0.005
21,3,100,normal,dls,1,0.999652458,0.999651658,0.9999104,0.999370899,0.134879332,0.040868636,0.049,0.092,0.034,0.005
NA,NA,NA,normal,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,100,elliptical,gls,0.982,1,1,1,1,0.235615154,0.187370808,0.990835031,0.150712831,0.054989817,0
21,3,100,elliptical,dls,0.982,0.997219843,0.997404293,0.999008148,0.992028297,0.208951502,0.158079227,0.990835031,0.124236253,0.035641548,0
NA,NA,NA,elliptical,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,100,skewed,gls,0.998,1,1,1,1,0.418286294,0.328934423,0.951903808,0.088176353,0.021042084,0
21,3,100,skewed,dls,0.997,0.994786101,0.994970024,0.997720791,0.989580883,0.325777287,0.249631839,0.953861585,0.084252758,0.018054162,0
NA,NA,NA,skewed,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,200,normal,gls,1,1,1,1,1,0.093966266,0.020940638,0.05,0.072,0.072,0.01
21,3,200,normal,dls,1,0.9999066,0.9999101,1,0.99969421,0.093965744,0.020993588,0.05,0.072,0.072,0.01
NA,NA,NA,normal,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,200,elliptical,gls,0.985,1,1,1,1,0.16644713,0.150832501,0.997948718,0.098461538,0.098461538,0.001025641
21,3,200,elliptical,dls,0.985,0.997450431,0.997782294,0.999482513,0.991112798,0.141552286,0.068370876,0.997948718,0.074871795,0.074871795,0
NA,NA,NA,elliptical,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,200,skewed,gls,0.994,1,1,1,1,0.301965948,0.260870809,0.979879276,0.069416499,0.069416499,0.001006036
21,3,200,skewed,dls,0.994,0.993271536,0.993547958,0.996949105,0.984042996,0.23452809,0.167975955,0.979879276,0.061368209,0.061368209,0
NA,NA,NA,skewed,wls,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,3,300,normal,gls,1,1,1,1,1,0.080638547,0.023643841,0.045,0.054,0.054,0.013
21,3,300,normal,dls,1,0.9999559,0.999959,1,0.999817379,0.080638474,0.023659632,0.045,0.054,0.054,0.013
21,3,300,normal,wls,0.998,0,0,0,0,0.166205616,0.680046842,1,1,1,1
21,3,300,elliptical,gls,1,1,1,1,1,0.134656048,0.111858851,1,0.071,0.071,0
21,3,300,elliptical,dls,1,0.997369495,0.99777757,0.999336381,0.988524499,0.118589113,0.05853177,1,0.061,0.061,0
21,3,300,elliptical,wls,0.988,0,0,0,0,0.398285347,0.684782569,1,1,1,1
21,3,300,skewed,gls,1,1,1,1,1,0.294243216,0.249383214,0.993,0.068,0.068,0
21,3,300,skewed,dls,1,0.9915672,0.991961367,0.996715997,0.978428782,0.199657621,0.149917488,0.993,0.059,0.059,0
21,3,300,skewed,wls,0.922,0,0,0,0,0.510699055,0.735146293,1,1,1,1
21,3,500,normal,gls,0.999,1,1,1,1,0.05927838,0.022203736,0.058058058,0.065065065,0.065065065,0.031031031
21,3,500,normal,dls,0.999,0.9999808,0.9999849,1,0.9999123,0.059278358,0.022205117,0.058058058,0.065065065,0.065065065,0.031031031
21,3,500,normal,wls,0.999,0,0,0,0,0.091488068,0.423291967,0.996996997,0.996996997,0.996996997,0.996996997
21,3,500,elliptical,gls,1,1,1,1,1,0.10363128,0.086482638,1,0.061,0.061,0
21,3,500,elliptical,dls,1,0.997119615,0.997544514,0.999183294,0.985993859,0.093929124,0.041733317,1,0.05,0.05,0
21,3,500,elliptical,wls,1,0,0,0,0,0.294625883,0.433659611,0.999,0.999,0.999,0.999
21,3,500,skewed,gls,1,1,1,1,1,0.200809399,0.214131387,0.996,0.048,0.048,0
21,3,500,skewed,dls,1,0.988285429,0.988868006,0.99386878,0.968634906,0.155958854,0.10590087,0.996,0.036,0.036,0
21,3,500,skewed,wls,0.997,0,0,0,0,0.381291464,0.490748612,0.998996991,0.998996991,0.998996991,0.998996991
21,3,1000,normal,gls,1,1,1,1,1,0.04371445,0.01754384,0.053,0.057,0.057,0.031
21,3,1000,normal,dls,1,0.99999322,0.99999635,1,0.9999486,0.043714429,0.017543577,0.053,0.057,0.057,0.031
21,3,1000,normal,wls,1,0,0,0,0,0.055370506,0.220519863,0.71,0.71,0.71,0.71
21,3,1000,elliptical,gls,1,1,1,1,1,0.078287713,0.101360904,1,0.066,0.066,0
21,3,1000,elliptical,dls,1,0.995741877,0.996366126,0.998750791,0.961599054,0.067611752,0.033185846,1,0.056,0.056,0
21,3,1000,elliptical,wls,1,0,0,0,0,0.202916176,0.239407268,0.763,0.763,0.763,0.763
21,3,1000,skewed,gls,0.999,1,1,1,1,0.137082867,0.131479676,1,0.047047047,0.047047047,0
21,3,1000,skewed,dls,0.999,0.980537004,0.981396416,0.990275997,0.944257732,0.115043725,0.067828259,1,0.041041041,0.041041041,0
21,3,1000,skewed,wls,0.999,0,0,0,0,0.26517831,0.275830333,0.74974975,0.74974975,0.74974975,0.74974975
