p,m,n,q,df,skewness,kurtosis,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,biase of se,Type I error rate of T,Type I error rate of T_SB,Type I error rate of T_JY
5,1,500,10,5,0.994338792,0.997108452,normal,gls,1,1,1,1,1,0.063669091,0.002350528,0.057,0.061,0.061
5,1,500,10,5,0.994338792,0.997108452,normal,dls,1,0.946846173,1,1,0.55670852,0.063673355,0.002562939,0.058,0.061,0.061
5,1,500,10,5,0.994338792,0.997108452,normal,wls,1,0,0,0,0,0.064443568,0.007172895,0.057,0.057,0.057
5,1,500,10,5,15.64461961,2.123770362,elliptical,gls,1,1,1,1,1,0.11145354,0.005798538,0.438,0.038,0.038
5,1,500,10,5,15.64461961,2.123770362,elliptical,dls,1,0.719951388,0.708461057,0.991655239,0.410804439,0.104769974,0.022385964,0.29,0.04,0.04
5,1,500,10,5,15.64461961,2.123770362,elliptical,wls,1,0,0,0,0,0.108312203,0.044701281,0.047,0.047,0.047
5,1,500,10,5,124.5879886,3.980073457,skewed,gls,1,1,1,1,1,0.206713994,0.007959656,0.358,0.048,0.048
5,1,500,10,5,124.5879886,3.980073457,skewed,dls,1,0.632161907,0.617572037,0.987648269,0.244501933,0.190869815,0.035752111,0.186,0.04,0.04
5,1,500,10,5,123.8828095,3.970071123,skewed,wls,0.999,0,0,0,0,0.189179937,0.067019703,0.052052052,0.052052052,0.052052052
5,1,1000,10,5,0.995341004,0.998759898,normal,gls,1,1,1,1,1,0.048507177,0.001877286,0.056,0.058,0.058
5,1,1000,10,5,0.995341004,0.998759898,normal,dls,1,0.947354979,1,1,0.649733839,0.048510145,0.001978021,0.056,0.059,0.059
5,1,1000,10,5,0.995341004,0.998759898,normal,wls,1,0,0,0,0,0.048810042,0.003843239,0.062,0.062,0.062
5,1,1000,10,5,21.94735913,2.270184734,elliptical,gls,1,1,1,1,1,0.073407629,0.003672897,0.412,0.048,0.048
5,1,1000,10,5,21.94735913,2.270184734,elliptical,dls,1,0.621211131,0.596931112,0.993515321,0.321685349,0.07092869,0.01691354,0.217,0.046,0.046
5,1,1000,10,5,21.94735913,2.270184734,elliptical,wls,1,0,0,0,0,0.07293225,0.027361131,0.046,0.046,0.046
5,1,1000,10,5,259.2864371,4.510565458,skewed,gls,1,1,1,1,1,0.151812409,0.00860146,0.37,0.043,0.043
5,1,1000,10,5,259.2864371,4.510565458,skewed,dls,1,0.545401518,0.522150925,0.995415597,0.189425849,0.140651137,0.029086429,0.156,0.034,0.034
5,1,1000,10,5,259.2864371,4.510565458,skewed,wls,1,0,0,0,0,0.13702005,0.045312083,0.037,0.037,0.037
15,3,40,33,87,0.924239947,0.951735088,normal,gls,1,1,1,1,1,0.244975295,0.016603595,0.047,0.14,0.029
15,3,40,33,87,0.924239947,0.951735088,normal,dls,1,1,1,1,1,0.251723501,0.017887248,0.047,0.14,0.029
NA,NA,NA,NA,NA,NA,NA,normal,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,40,33,87,1.311955394,1.072189697,elliptical,gls,0.999,1,1,1,1,0.375160213,0.03294284,0.822822823,0.206206206,0.04004004
15,3,40,33,87,1.311927476,1.072199066,elliptical,dls,0.996,0.992248146,1,1,0.657498079,0.323369316,0.071309025,0.822289157,0.227911647,0.060240964
NA,NA,NA,NA,NA,NA,NA,elliptical,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,40,33,87,1.655397456,1.161433842,skewed,gls,0.987,1,1,1,1,0.571025304,0.057829471,0.653495441,0.17325228,0.044579534
15,3,40,33,87,1.655556062,1.161440814,skewed,dls,0.988,0.986501026,1,1,0.641572101,0.493756439,0.120443524,0.662955466,0.230769231,0.069838057
NA,NA,NA,NA,NA,NA,NA,skewed,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,60,33,87,0.947322727,0.967353633,normal,gls,1,1,1,1,1,0.190058787,0.012984913,0.046,0.086,0.048
15,3,60,33,87,0.947322727,0.967353633,normal,dls,1,1,1,1,1,0.186885144,0.012469925,0.046,0.086,0.048
NA,NA,NA,NA,NA,NA,NA,normal,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,60,33,87,1.752184369,1.189267236,elliptical,gls,1,1,1,1,1,0.309084423,0.026965289,0.885,0.136,0.076
15,3,60,33,87,1.752184369,1.189267236,elliptical,dls,1,0.998104523,1,1,0.962956422,0.276485926,0.046219808,0.885,0.117,0.06
NA,NA,NA,NA,NA,NA,NA,elliptical,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,60,33,87,2.515318789,1.337065998,skewed,gls,0.998,1,1,1,1,0.515012838,0.042779603,0.735470942,0.126252505,0.071142285
15,3,60,33,87,2.514898231,1.33704521,skewed,dls,0.995,0.980074515,0.98055151,1,0.920728908,0.381538726,0.123869011,0.751758794,0.128643216,0.063316583
NA,NA,NA,NA,NA,NA,NA,skewed,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,100,33,87,0.967160293,0.980416609,normal,gls,1,1,1,1,1,0.141026378,0.007282325,0.047,0.066,0.066
15,3,100,33,87,0.967160293,0.980416609,normal,dls,1,0.999821732,1,1,0.976602736,0.141025177,0.007305205,0.047,0.066,0.066
NA,NA,NA,NA,NA,NA,NA,normal,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,100,33,87,2.557150811,1.351736002,elliptical,gls,0.998,1,1,1,1,0.259527437,0.014519059,0.935871743,0.096192385,0.096192385
15,3,100,33,87,2.559984905,1.352193151,elliptical,dls,1,0.99072342,0.99100284,1,0.96121745,0.209175997,0.048940343,0.934,0.068,0.068
NA,NA,NA,NA,NA,NA,NA,elliptical,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,100,33,87,4.317095952,1.587740962,skewed,gls,1,1,1,1,1,0.392641522,0.030204003,0.827,0.07,0.07
15,3,100,33,87,4.317095952,1.587740962,skewed,dls,1,0.953918747,0.956839057,0.982863759,0.874721363,0.301744209,0.13369805,0.779,0.092,0.092
NA,NA,NA,NA,NA,NA,NA,skewed,wls,NA,#VALUE!,#VALUE!,#VALUE!,#VALUE!,NA,NA,NA,NA,NA
15,3,200,33,87,0.982107459,0.99032817,normal,gls,1,1,1,1,1,0.100556903,0.004470666,0.038,0.05,0.05
15,3,200,33,87,0.982107459,0.99032817,normal,dls,1,0.998070303,1,1,0.930480711,0.100549854,0.004580942,0.038,0.05,0.05
15,3,200,33,87,0.982107459,0.99032817,normal,wls,1,0,0,0,0,0.16434943,0.077637556,0.979,0.979,0.979
15,3,200,33,87,4.21495216,1.578055968,elliptical,gls,1,1,1,1,1,0.165743767,0.010385207,0.964,0.064,0.064
15,3,200,33,87,4.21495216,1.578055968,elliptical,dls,1,0.977173727,0.978998489,1,0.934895597,0.143216406,0.048459492,0.955,0.049,0.049
15,3,200,33,87,4.209390541,1.577423828,elliptical,wls,0.981,0,0,0,0,0.352221477,0.30847522,0.98470948,0.98470948,0.98470948
15,3,200,33,87,9.03272672,1.96540555,skewed,gls,1,1,1,1,1,0.28795804,0.014960566,0.924,0.047,0.047
15,3,200,33,87,9.03272672,1.96540555,skewed,dls,1,0.92303226,0.928387206,0.975842355,0.79695135,0.225672801,0.117697588,0.836,0.064,0.064
15,3,200,33,87,9.034079715,1.966018122,skewed,wls,0.958,0,0,0,0,0.461125733,0.404411017,0.986430063,0.986430063,0.986430063
15,3,300,33,87,0.985760046,0.993352913,normal,gls,1,1,1,1,1,0.084921718,0.00328158,0.038,0.045,0.045
15,3,300,33,87,0.985760046,0.993352913,normal,dls,1,0.996077605,1,1,0.93560113,0.08491857,0.00339184,0.038,0.045,0.045
15,3,300,33,87,0.985760046,0.993352913,normal,wls,1,0,0,0,0,0.117412293,0.050530567,0.832,0.832,0.832
15,3,300,33,87,5.756699539,1.722766128,elliptical,gls,1,1,1,1,1,0.141948881,0.005978294,0.98,0.06,0.06
15,3,300,33,87,5.756699539,1.722766128,elliptical,dls,1,0.9653019,0.967228227,0.9895166,0.90116349,0.121368883,0.046845972,0.967,0.047,0.047
15,3,300,33,87,5.756699539,1.722766128,elliptical,wls,1,0,0,0,0,0.276083169,0.24993557,0.858,0.858,0.858
15,3,300,33,87,14.14599809,2.197306949,skewed,gls,1,1,1,1,1,0.242447171,0.011915916,0.94,0.059,0.059
15,3,300,33,87,14.14599809,2.197306949,skewed,dls,1,0.900424448,0.904541835,0.980969102,0.71855284,0.198214931,0.106971557,0.829,0.062,0.062
15,3,300,33,87,14.12136699,2.195520774,skewed,wls,0.992,0,0,0,0,0.364507235,0.326978545,0.815524194,0.815524194,0.815524194
15,3,500,33,87,0.9919544,0.995937303,normal,gls,1,1,1,1,1,0.064046602,0.002366449,0.051,0.058,0.058
15,3,500,33,87,0.9919544,0.995937303,normal,dls,1,0.993930818,1,1,0.933546559,0.064039832,0.002497998,0.051,0.059,0.059
15,3,500,33,87,0.9919544,0.995937303,normal,wls,1,0,0,0,0,0.078598725,0.03068776,0.47,0.47,0.47
15,3,500,33,87,8.174142651,1.886140404,elliptical,gls,1,1,1,1,1,0.111409018,0.004128258,0.994,0.061,0.061
15,3,500,33,87,8.174142651,1.886140404,elliptical,dls,1,0.94480438,0.945376515,0.992455886,0.835820367,0.09820102,0.04337296,0.975,0.044,0.044
15,3,500,33,87,8.174142651,1.886140404,elliptical,wls,1,0,0,0,0,0.207987024,0.187777924,0.44,0.44,0.44
15,3,500,33,87,24.25303336,2.513952149,skewed,gls,0.995,1,1,1,1,0.200207263,0.00647407,0.969849246,0.04321608,0.04321608
15,3,500,33,87,24.25303336,2.513952149,skewed,dls,0.995,0.873610637,0.877833899,0.987549177,0.644469904,0.165158259,0.092766273,0.842211055,0.054271357,0.054271357
15,3,500,33,87,24.25213782,2.5136419,skewed,wls,0.994,0,0,0,0,0.285043128,0.255131663,0.430583501,0.430583501,0.430583501
15,3,1000,33,87,0.995411128,0.997797194,normal,gls,1,1,1,1,1,0.047792495,0.001667136,0.034,0.039,0.039
