p,m,p,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,bias of se,Type I error rate of  T,Type I error rate of T_SB,Type I error rate of T_JY,Type I error rate of T_MVA
1,15,100,vm1,1,1,1,1,1,1,0.245644603,0.15790803,0.877,0.103,0.103,0.001
2,15,100,vm1,1,1,0.993608245,0.993904133,0.997784878,0.98481173,0.234062632,0.149200656,0.875,0.102,0.102,0.001
3,NA,NA,vm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,100,vm2,1,0.999,1,1,1,1,0.334899397,0.250831705,0.752752753,0.15015015,0.15015015,0.002002002
2,15,100,vm2,1,1,0.990686099,0.990974395,0.99757173,0.975824392,0.302155793,0.216748485,0.747,0.113,0.113,0.002
3,NA,NA,vm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,15,200,vm1,1,1,1,1,1,1,0.177904783,0.099912894,0.921,0.074,0.074,0.001
2,15,200,vm1,1,1,0.993580992,0.993905319,0.997681751,0.982708341,0.17246568,0.094639866,0.916,0.068,0.068,0.001
3,15,200,vm1,1,1,0,0,0,0,0.380797547,0.547568431,0.983,0.983,0.983,0.983
1,15,200,vm2,1,1,1,1,1,1,0.226942634,0.158651946,0.932,0.106,0.106,0
2,15,200,vm2,1,1,0.986560716,0.987244966,0.994483794,0.962424527,0.205684456,0.132467111,0.93,0.074,0.074,0
3,15,200,vm2,1,0.985,0,0,0,0,0.457206092,0.576676716,0.974358974,0.974358974,0.974358974,0.974358974
1,15,300,vm1,1,1,1,1,1,1,0.14817353,0.072882963,0.903,0.065,0.065,0.002
2,15,300,vm1,1,1,0.992968025,0.993273771,0.99711496,0.980990436,0.144544279,0.069364872,0.899,0.063,0.063,0.003
3,15,300,vm1,1,0.999,0,0,0,0,0.300935976,0.403353981,0.81981982,0.81981982,0.81981982,0.81981982
1,15,300,vm2,1,0.99,1,1,1,1,0.196850561,0.142827387,0.978787879,0.085858586,0.085858586,0
2,15,300,vm2,1,0.99,0.980911757,0.981941586,0.993685548,0.946061659,0.175872789,0.115678502,0.973737374,0.054545455,0.054545455,0
3,15,300,vm2,1,0.984,0,0,0,0,0.393819556,0.435718483,0.775406504,0.775406504,0.775406504,0.775406504
1,15,500,vm1,1,0.995,1,1,1,1,0.113941362,0.051906352,0.935678392,0.054271357,0.054271357,0.004020101
2,15,500,vm1,1,0.995,0.99024105,0.990662033,0.996044859,0.976517538,0.111296468,0.050214745,0.931658291,0.053266332,0.053266332,0.004020101
3,15,500,vm1,1,0.995,0,0,0,0,0.238625896,0.29314373,0.442211055,0.442211055,0.442211055,0.442211055
1,15,500,vm2,1,0.955,1,1,1,1,0.150209966,0.09727143,0.982198953,0.079581152,0.079581152,0.002094241
2,15,500,vm2,1,0.955,0.97244288,0.973278989,0.98756123,0.936727595,0.137597944,0.081671715,0.97382199,0.047120419,0.047120419,0.002094241
3,15,500,vm2,1,0.955,0,0,0,0,0.314246976,0.29861127,0.404188482,0.404188482,0.404188482,0.404188482
1,15,1000,vm1,1,0.965,1,1,1,1,0.084956864,0.037778976,0.922279793,0.063212435,0.063212435,0.010362694
2,15,1000,vm1,1,0.965,0.987227185,0.987728662,0.993765552,0.963427535,0.083528838,0.037262396,0.90984456,0.059067358,0.059067358,0.013471503
3,15,1000,vm1,1,0.965,0,0,0,0,0.155890752,0.187490682,0.193782383,0.193782383,0.193782383,0.193782383
1,15,1000,vm2,1,0.98,1,1,1,1,0.106806623,0.076436808,0.995918367,0.063265306,0.063265306,0.004081633
2,15,1000,vm2,1,0.98,0.956249005,0.957709944,0.978023313,0.904085455,0.100898765,0.06637099,0.989795918,0.042857143,0.042857143,0.008163265
3,15,1000,vm2,1,0.98,0,0,0,0,0.22332076,0.200286566,0.178571429,0.178571429,0.178571429,0.178571429
1,21,100,vm1,1,0.984,1,1,1,1,0.236758515,0.154861058,0.97702407,0.181619256,0.055798687,0
2,21,100,vm1,1,0.984,0.996437301,0.996520797,0.998640841,0.992585147,0.226534503,0.14962815,0.97702407,0.172866521,0.047045952,0
3,NA,NA,vm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,100,vm2,1,0.985,1,1,1,1,0.325062581,0.254203538,0.94822335,0.226395939,0.089340102,0.001015228
2,21,100,vm2,1,0.985,0.995362256,0.995474259,0.997877688,0.991104065,0.290276421,0.208037725,0.947208122,0.173604061,0.053807107,0
3,NA,NA,vm2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,21,200,vm1,1,0.986,1,1,1,1,0.169606484,0.096249162,0.995943205,0.111561866,0.111561866,0.001014199
2,21,200,vm1,1,0.986,0.996786747,0.996900899,0.998495904,0.993588371,0.164551978,0.091350896,0.994929006,0.101419878,0.101419878,0
3,NA,NA,vm1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
